water_objects,type,region,class,wpi
Kara-Kengir,river,Ulytau region,VI class,6.28
Kengir,reservoir,Ulytau region,V class,4.85
Krasnoyarsk,river,North Kazakhstan,V class,4.44
Glubochanka,river,East Kazakhstan region,V class,5.33
Ulba,river,East Kazakhstan region,V class,4.7
Tikhaya,river,East Kazakhstan region,V class,5.74
Brexa,river,East Kazakhstan region,V class,5.8
Khorgos,river,Almaty region,IV class,3.08
Shu,river,Zhambyl region,IV class,2.84
Sherubay-Nura,river,Karagandy region,IV class,3.16
Ilek,river,Aktobe region,IV class,3.2
Uba,river,East Kazakhstan region,IV class,3.45
Bukhtarma,river,East Kazakhstan region,IV class,3.22
Keles,river,Turkestan region,III class,1.94
Shardara,reservoir,Turkestan region,III class,2.09
badam,river,Turkestan region,III class,1.6
Syrdarya,river,Kyzylorda region,III class,1.30
Assa,river,Zhambyl region,III class,1.47
Big Almatinka,river,Almaty city,III class,1.34
Esentai,river,Almaty city,III class,1.61
Malaya Almatinka,river,Almaty city,III class,1.25
Bartogay,reservoir,Almaty region,III class,1.63
Kurtinskoe,reservoir,Almaty region,III class,1.48
Kapshagai,reservoir,Almaty region,III class,1.68
Bayankol,river,Almaty region,III class,1.83
Karkara,river,Almaty region,III class,2.2
Tekes,river,Almaty region,III class,2.06
Turgen,river,Almaty region,III class,1.57
Shilik,river,Almaty region,III class,1.68
Sharyn,river,Almaty region,III class,1.75
Ile,river,Almaty region,III class,2.25
Samarkand,reservoir,Karagandy region,III class,1.51
Nura,river,Akmola region,III class,1.9
Sary-Bulak,river,Astana,III class,1.22
Ishim,river,North Kazakhstan,III class,1.11
Chagan,river,West Kaakhstan,III class,1.01
Irtysh,river,East Kazakhstan,III class,2.35
Katta Bugun,river,Turkestan region,II class,0.28
Bugun,river,Turkestan region,II class,0.35
Talas,river,Zhambyl region,II class,0.92
Shuchie,lake,Akmola region,II class,0.44
Borovoe,lake,Akmola region,II class,0.52
Big Chebache,lake,Akmola region,II class,0.66
Ak-Bulak,river,Akmola region,II class,0.68
Ishim,river,Akmola region,II class,0.8
Vyacheslavskoe,reservoir,Akmola region,II class,0.67
Tobol,river,Kostanay,II class,0.63
Derkul,river,West Kazakhstan,II class,0.85
Ural,river,Atyrau region,II class,0.87
Irtysh,river,Pavlodar,II class,0.81
