rivers,type,regions,wpi_april_2005,wpi_march_2006,wpi_april_2006,ingredients_and_indicators,avg_concentration_mg/l,multiplicity_of_exceeding_the_mpc,classes,characteristic
Irtysh,river,East Kazakhstan,3.13,2.3,2.35,Copper,0.0019,1.9,III class,moderately polluted
Irtysh,river,East Kazakhstan,3.13,2.3,2.35,Zinc,0.039,3.9,III class,moderately polluted
Irtysh,river,Pavlodar,1.93,0.9,0.81,Copper,0.002,2,II class,clean
Bukhtarma,river,East Kazakhstan,3.96,0.47,3.22,Ammonia nitrogen,0.55,1.4,IV class,polluted
Bukhtarma,river,East Kazakhstan,3.96,0.47,3.22,Iron total,0.95,9.5,IV class,polluted
Bukhtarma,river,East Kazakhstan,3.96,0.47,3.22,Copper,0.0049,4.9,IV class,polluted
Breksa,river,East Kazakhstan,9.44,3.7,5.8,Ammonia nitrogen,0.82,2.1,V class,dirty
Breksa,river,East Kazakhstan,9.44,3.7,5.8,Iron total,0.63,6.3,V class,dirty
Breksa,river,East Kazakhstan,9.44,3.7,5.8,Copper,0.0122,12.2,V class,dirty
Breksa,river,East Kazakhstan,9.44,3.7,5.8,Zinc,0.12,12,V class,dirty
Breksa,river,East Kazakhstan,9.44,3.7,5.8,Manganese,0.025,2.5,V class,dirty
Tikhaya,river,East Kazakhstan,9.49,4.36,5.74,Ammonia nitrogen,0.86,2.2,V class,dirty
Tikhaya,river,East Kazakhstan,9.49,4.36,5.74,Iron total,0.74,7.4,V class,dirty
Tikhaya,river,East Kazakhstan,9.49,4.36,5.74,Copper,0.012,12,V class,dirty
Tikhaya,river,East Kazakhstan,9.49,4.36,5.74,Zinc,0.111,11.1,V class,dirty
Tikhaya,river,East Kazakhstan,9.49,4.36,5.74,Manganese,0.025,2.5,V class,dirty
Ulba,river,East Kazakhstan,8.77,5.77,4.76,Ammonia nitrogen,1.01,2.6,V class,dirty
Ulba,river,East Kazakhstan,8.77,5.77,4.76,Iron total,0.676,6.8,V class,dirty
Ulba,river,East Kazakhstan,8.77,5.77,4.76,Copper,0.0066,6.6,V class,dirty
Ulba,river,East Kazakhstan,8.77,5.77,4.76,Zinc,0.107,10.7,V class,dirty
Ulba,river,East Kazakhstan,8.77,5.77,4.76,Manganese,0.019,1.9,V class,dirty
Glubochanka,river,East Kazakhstan,6.19,4.27,5.33,Ammonia nitrogen,1.59,4.1,V class,dirty
Glubochanka,river,East Kazakhstan,6.19,4.27,5.33,nitrogen nitrite,0.084,4.2,V class,dirty
Glubochanka,river,East Kazakhstan,6.19,4.27,5.33,Copper,0.0069,6.9,V class,dirty
